# Sensor Lundemosen, Greve Strand, Denmark (Citizen Science project sensor.community/78298)
# https://aqicn.org/station/@370306/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2023-08-19T00:00:00.000Z,3,13.1,5.2,4.4,6.25,1.297,584
2023-08-20T00:00:00.000Z,1.65,12.4,4.25,3.2,4.95,1.867,578
2023-08-21T00:00:00.000Z,1.17,5.85,2.4,1.8,3.91,1.21,568
2023-08-22T00:00:00.000Z,1.1,5.97,3.08,2.29,3.5,0.847,582
2023-08-23T00:00:00.000Z,1.5,14.15,3.1,2.45,5.54,3.064,585
2023-08-24T00:00:00.000Z,1.52,11.27,2.42,2,3.08,0.889,584
2023-08-25T00:00:00.000Z,1.83,14.6,4.88,3.47,6.63,2.704,582
2023-08-26T00:00:00.000Z,0.93,29.73,3.19,2.35,14.35,7.652,586
2023-08-27T00:00:00.000Z,1.7,8.18,3.4,2.82,4.03,0.846,569
2023-08-28T00:00:00.000Z,1.2,6.07,2.02,1.6,2.75,0.811,583
2023-08-29T00:00:00.000Z,1.17,14.7,1.98,1.67,2.6,1.31,583
2023-08-30T00:00:00.000Z,1.02,9.57,2.54,1.8,3.05,0.793,582
2023-08-31T00:00:00.000Z,1.83,9.07,3.2,2.7,4,0.995,583
2023-09-01T00:00:00.000Z,1.5,6.15,2.25,2,2.9,0.724,581
2023-09-02T00:00:00.000Z,1.6,8.52,2.8,2.2,5.07,1.855,582
2023-09-03T00:00:00.000Z,1.5,5.95,2.65,2.37,2.97,0.845,581
2023-09-04T00:00:00.000Z,2.25,14.13,4.3,2.88,6.03,2.049,571
2023-09-05T00:00:00.000Z,2.54,19.98,5.55,3.55,9.48,3.668,584
2023-09-06T00:00:00.000Z,2.5,17.35,6.55,4.3,10.52,3.432,579
2023-09-07T00:00:00.000Z,3.38,10.48,5.53,4.68,6.4,1.563,583
2023-09-08T00:00:00.000Z,5.07,13.48,8.18,6.88,10.15,2.055,583
2023-09-09T00:00:00.000Z,6.97,47.8,13.5,9.03,16.52,4.831,576
2023-09-10T00:00:00.000Z,10.38,32.83,19.55,17.63,21.2,3.297,580
2023-09-18T00:00:00.000Z,3.72,20.25,7.97,6.63,9.19,1.953,574
2023-09-19T00:00:00.000Z,1.8,5.18,2.75,2.49,3.08,0.545,572
2023-09-20T00:00:00.000Z,1.95,7.53,3.64,3.15,4.22,0.907,552
2023-09-21T00:00:00.000Z,2.5,6.65,3.42,3.13,4.68,0.897,577
